University,ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
Brown University,2015,2015,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,1787,213542.9496,106684.8633,1037.849151,88,Physical Sciences,40
Brown University,2014,2014,172061,Computer hardware engineers,TRUE,TRUE,1181,116334.1558,38985.15065,843.7189929,54,Physical Sciences,40
Brown University,2014,2014,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,1773,208693.6108,100415.959,1033.775657,82,Physical Sciences,40
Brown University,2020,2020,172061,Computer hardware engineers,TRUE,TRUE,252,277496.2976,322044.3189,389.739712,11,History,54
Brown University,2020,2020,193033,Clinical and counseling psychologists,TRUE,TRUE,150,239350.3133,402032.0785,300.6908193,9,History,54
Brown University,2020,2020,291210,Physicians,TRUE,TRUE,11688,246311.9709,40553.05754,2654.163895,604,History,54
Brown University,2020,2020,291240,Surgeons,TRUE,TRUE,487,288105.1951,218478.0691,541.7994076,30,History,54
Brown University,2020,2020,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,4172,242577.884,81369.22197,1585.772188,195,History,54
Brown University,2019,2019,172061,Computer hardware engineers,TRUE,TRUE,295,93358.36949,33115.58493,421.6822614,13,History,54
Brown University,2019,2019,193033,Clinical and counseling psychologists,TRUE,TRUE,104,71228.63462,83299.29341,250.3751804,9,History,54
Brown University,2019,2019,291210,Physicians,TRUE,TRUE,11153,237023.5995,41279.82765,2592.711453,614,History,54
Brown University,2019,2019,291240,Surgeons,TRUE,TRUE,471,291548.879,231005.2895,532.824908,32,History,54
Brown University,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,4278,224265.6847,76907.72234,1605.790371,209,History,54
Brown University,2018,2018,172061,Computer hardware engineers,TRUE,TRUE,289,91129.46713,38230.29729,417.3719402,11,History,54
Brown University,2018,2018,193033,Clinical and counseling psychologists,TRUE,TRUE,104,70352.48077,82202.62901,250.3751791,9,History,54
Brown University,2018,2018,291210,Physicians,TRUE,TRUE,10687,232423.4034,40429.91667,2537.971238,589,History,54
Brown University,2018,2018,291240,Surgeons,TRUE,TRUE,447,252847.9172,217217.5312,519.0722985,30,History,54
Brown University,2018,2018,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,4267,215776.4846,74397.62909,1603.724282,215,History,54
Brown University,2017,2017,172061,Computer hardware engineers,TRUE,TRUE,214,90218.00467,41542.68087,359.1545072,8,History,54
Brown University,2017,2017,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,4670,201339.9745,67253.41337,1677.745652,232,History,54
Brown University,2016,2016,172061,Computer hardware engineers,TRUE,TRUE,229,85380.87773,44124.60577,371.5285107,9,History,54
Brown University,2016,2016,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,4850,185726.0363,60892.76999,1709.771794,236,History,54
Brown University,2015,2015,172061,Computer hardware engineers,TRUE,TRUE,220,83666.20455,48632.96049,364.1545614,11,History,54
Brown University,2015,2015,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,4780,174379.9416,57384.14731,1697.388345,235,History,54
Brown University,2014,2014,172061,Computer hardware engineers,TRUE,TRUE,121,144305.4132,158166.2513,270.0643452,7,History,54
